# Double-bar presence as function of log(M_star/M_sun) or log(a_max/kpc)
DB   NR   logmstar  logamax
0    0    9.8320     0.1584
0    0    9.9130     0.3531
0    0    10.3900     0.2725
0    0    9.7930     0.2216
1    1    10.2830     0.3375
0    1    10.1840     0.3413
0    0    10.1090     -0.1459
0    1    10.9260     0.6964
0    0    10.1860     0.2610
1    1    10.8610     0.6108
0    0    9.9720     0.4963
0    0    10.2280     0.1209
0    0    10.0894     0.0423
0    1    10.2250     0.5193
0    0    10.4880     0.4169
1    0    10.4560     0.1427
0    0    10.3800     0.0349
0    0    9.9287     0.1844
1    1    10.8820     0.7222
0    0    9.9090     0.0695
1    1    10.3387     0.3073
0    0    10.4490     0.3647
0    0    10.1040     0.4230
0    0    9.8210     0.1943
1    0    10.7800     0.3829
0    1    10.2150     0.6193
0    0    10.1570     0.1941
0    1    10.4860     0.5598
0    0    10.2590     0.6267
1    1    10.7250     0.6730
0    0    9.9610     0.3425
0    0    9.8920     0.3479
0    0    10.0380     0.0765
1    0    10.3290     0.0918
0    0    9.9440     0.3062
0    0    10.1770     0.1020
0    1    10.3090     0.0975
0    0    10.1270     0.3070
0    0    10.0360     0.0456
1    0    10.4370     0.2809
0    0    10.3740     -0.0008
0    0    10.2730     -0.0385
0    0    10.1810     0.1083
0    0    10.2640     0.1841
0    0    10.0940     0.2503
0    0    9.8110     0.3511
0    0    10.4770     0.3181
0    0    10.2330     0.4395
1    0    10.3420     0.1283
1    1    10.8500     0.7965
0    1    10.9870     0.5573
0    0    10.2580     -0.3483
0    0    9.3032     -0.0353
1    0    10.9179     0.8389
0    0    10.4556     -0.2816
0    0    10.5030     -0.3242
0    0    10.3590     0.5149
0    0    10.5540     0.0798
0    0    10.2940     0.7830
0    0    10.1070     0.1504
0    0    10.3339     0.1623
0    0    10.1780     0.0387
0    0    10.1812     0.7217
0    0    10.5280     -0.0261
0    1    10.0290     0.5216
1    1    10.2529     0.5080
1    1    10.4500     0.8409
0    0    10.1332     0.0209
0    0    10.4560     0.2069
1    1    10.8570     0.3838
1    1    10.5919     0.7661
0    0    10.3483     0.2491
1    1    10.9310     0.6561
1    1    10.1420     0.7051
0    0    10.2280     -0.2939
0    1    10.5080     0.7143
0    0    10.1260     -0.2076
0    0    10.0450     0.0166
0    0    9.4074     -0.0221
0    1    10.4400     0.4705
0    0    9.9330     -0.1095
0    0    10.0070     0.2426
0    0    9.9290     0.6259
0    0    9.8020     0.0602
1    1    10.7180     0.5769
1    1    10.5760     0.4832
0    0    10.6796     0.3682
0    0    9.8200     0.3782
0    0    9.8900     0.3230
0    0    10.1310     0.1652
0    0    10.1530     0.1083
0    0    10.1910     0.3431
0    0    9.9830     -0.1155
0    0    10.6950     0.5660
0    0    9.8770     0.1871
1    0    10.6960     0.7647
0    0    11.0980     0.6300
0    0    10.6820     0.7051
0    0    9.5588     0.2400
0    0    10.4400     0.6538
0    0    10.2220     0.2750
0    0    9.8770     0.0011
0    0    10.6483     0.5865
0    0    10.2289     0.3622
0    0    11.0280     0.8954
0    0    10.4850     -0.0999
0    0    10.4790     0.5847
0    0    11.3340     0.2003
0    0    9.8360     -0.1441
1    0    10.8810     0.9051
1    1    10.5210     0.5079
1    0    10.7290     0.6477
1    0    10.5520     0.5217
0    0    10.3620     0.1263
0    0    10.0690     0.1606
1    0    10.3550     0.7799
0    1    10.4430     0.3623
0    0    10.7540     0.5093
0    0    10.1150     0.1156
0    0    10.8920     -0.2645
0    0    10.0520     0.3915
0    1    10.5627     0.7988
0    0    10.0880     -0.0201
0    0    9.9030     0.5777
0    1    10.7060     0.9493
0    0    10.6220     0.2169
0    0    10.2980     -0.0036
0    0    10.1097     -0.0093
0    0    9.8600     0.1574
0    0    10.2100     -0.0845
0    0    10.1620     -0.1783
0    0    10.6950     0.7196
0    0    10.5670     -0.1673
1    0    10.4560     0.3970
0    0    10.0980     0.1184
1    0    9.9358     0.3337
1    1    10.5850     0.6691
1    1    10.9002     0.9509
0    0    10.3184     -0.0426
0    0    10.4110     0.6594
0    0    10.0890     -0.0406
0    0    10.2600     0.4702
0    0    10.2620     0.3898
0    0    10.0360     0.5551
0    0    9.8540     0.0135
0    1    10.4510     0.6825
0    0    10.1170     0.0059
0    0    10.2510     0.0536
1    0    10.1890     0.0331
0    0    9.8010     0.5153
0    0    10.4470     0.5180
0    0    9.9270     0.2516
0    0    9.9740     0.2868
0    0    9.8020     -0.0693
0    0    9.8080     -0.4271
