# This table summarizes useful information about galaxies in the Parent Disc Sample of
# Erwin (2018).
#
# Except for the following columns, values are from Herrera-Endoqui et al. (2015: A&A, 582, A86)
#    dist, logmstar -- distance in Mpc and log of galaxy stellar mass (in solar masses), from 
#       Munoz-Mateos et al. (2015: ApJS, 219, 3)
#    bar_strength -- Buta et al. (2015, ApJS, 217, 32)
#    A2, A4 -- Diaz-Garcia et al. (2016a, 587, A160)
#    Re, Re_kpc, h_kpc -- Salo et al. (2015, ApJS, 219, 4)
#    R25, etc.; t_s4g -- main S4G table
#    B_tc, BmV_tc, m21c, W_gas, t_leda -- HyperLeda (as of 29 March 2017)
#        NGC4314: m21c is from HI flux in Springob+2005 (ApJS)
#    gmr_tc -- total g-r color, based on BmV_tc as described in paper
#    gmr_sga_tc -- total g-r color from Siena Galaxy Atlas
#    weight_BmVtc -- B_t-based weights for galaxy colors (see paper)
#    w25, w30, w40 -- V/V_max weights assuming D_max = 25, 30, or 40 Mpc
#    M_HI, logfgas -- based on dist + m21c, as described in paper
#    inclination -- Munoz-Mateos et al. (2015)
#    sma_dp_kpc2 -- deprojected bar semi-major axis (in kpc) using bar size and
#       PA from Herrera-Endoqui et al. and galaxy inclination and PA from Munoz-Mateos et al.
#
# "No data" values:
# For the following columns "no data" is indicated by the value -99:
#    BmV_tc, gmr_tc, gmr_sga_tc, m21c, M_HI, logfgas
# For the following columns "no data" is indicated by the value 0:
#    sma, sma_kpc, sma_ell_kpc, sma_dp_kpc, sma_dp_kpc2, sma_ell_dp_kpc2, ell_dp
# For the following columns "no data" is indicated by the value -999:
#    A2, A4, ell_dp
#
# name logmstar dist B_tc BmV_tc weight_BmVtc gmr_tc gmr_sga_tc m21c M_HI logfgas w25 w30 w40 sma sma_kpc sma_ell_kpc sma_dp_kpc sma_dp_kpc2 sma_ell_dp_kpc2 bar_strength A2 A4 ell_dp inclination R25 R25_5 R25_kpc R25_5_kpc R25c_kpc Re Re_kpc h_kpc W_gas V_rot t_s4g t_leda
ESO013-016 9.56400049274087 23.017 12.882 -99.0 1.9096451680294766 -99.0 -99.0 14.87 1283136093.7095654 -0.4557277711963774 1.0 1.0 1.0 16.1 1.7965903085836181 1.1549509126608974 1.7965903085836181 1.7966260463676296 1.154973886950619 1 0.391 0.125 0.61 50.30330023075759 64.28671803360176 36.55 7.173720160858175 4.078594768865294 7.529123680099219 38.85 4.335250527234383 2.3499624415194047 74.92 97.36997780071175 7.5 7.3 
ESO026-001 9.373000325069567 19.16 13.446 -99.0 2.8604011721134097 -99.0 -99.0 15.03 767301938.858643 -0.4880340294694516 1.0 1.1070755258967353 2.6241790243478174 18.5 1.7184689598332241 2.0064286233728454 1.7649140668557437 1.7661808592948371 2.0621354897712694 2 0.643 0.282 0.6 20.377851827081457 45.40683745308624 28.6 4.2178508501254806 2.6566601216881196 5.249177013253519 62.93 5.845581169854313 1.8029061644001645 41.68 119.6979842047493 5.9 5.9 
ESO027-001 9.998999523689438 18.308 11.235 -99.0 1.1279494117162943 -99.0 -99.0 13.643 2513373858.133091 -0.5987424300638509 1.0 1.0 1.0 13.1 1.1627508302426488 1.238196494800378 1.224882553996073 1.2185062398757427 1.2975696218524133 2 0.489 -999.999 0.55 39.31336489471206 81.3057489567253 51.6 7.216666191063567 4.579995636680969 8.616613586019392 96.07 8.527135287130632 2.1900545027028335 52.46 82.8017665036415 5.0 5.0 
ESO048-017 9.202000360304865 29.52 13.913 -99.0 3.6348019443743684 -99.0 -99.0 15.415 1277638506.4174752 -0.09559236788779302 1.0 1.0 1.0 27.9 3.992960511962766 -107.23031052287106 -142.9737473638281 4.037976657664761 0.0 1 -999.999 -999.999 -999.0 59.93801416787615 47.437441178111506 27.1 6.789097828414184 3.8784670205803216 6.820434880169651 38.76 5.547209657479455 2.9562219474947273 65.42 75.58776634720749 6.9 6.9 
ESO054-021 9.545999439987886 16.475 12.095 -99.0 1.4759621155916145 -99.0 -99.0 13.418 2503952768.678753 -0.14737330734072707 1.0 1.0 1.464548317326708 9.0 0.7188568104137881 -59.844829466947864 -79.79310595593049 0.8594852198016874 0.0 2 -999.999 -999.999 -999.0 63.123177143190894 64.13886268506697 78.75 5.122962028150575 6.289997091120647 5.254375872285453 84.66 6.7620463966257 3.7628160376215067 84.81 95.08055662250135 7.9 7.9 
ESO079-005 9.298999261078617 23.483 13.106 -99.0 2.211958567441367 -99.0 0.40905180358886817 14.044 2858133052.6114364 0.1570831812454525 1.0 1.0 1.0 15.6 1.7760395607592174 1.6308824812740892 2.015121809322958 2.019895946621576 1.8548082971380817 1 -999.999 -999.999 0.76 55.56794843055125 58.36080244867988 33.55 6.644300894006979 3.81962354253024 6.583385577261688 30.14 3.431399510338642 2.452528475504812 72.62 88.04587251081371 7.0 7.0 
ESO079-007 9.470999654305327 25.22 13.47 -99.0 2.9174374651513264 -99.0 -99.0 15.276 1059901362.8662668 -0.44573420371613715 1.0 1.0 1.0 13.9 1.6995515477662229 1.3205148716456985 1.711778537318498 1.7042929385304675 1.3241988299373417 1 0.191 0.112 0.56 36.96534441303702 48.20823759038632 27.55 5.894416173512437 3.3685356216517586 5.935274314501945 24.27 2.967490364337139 1.772302135602259 52.02 86.50797318616799 4.0 5.3 
ESO085-030 9.80200018248435 31.075 13.541 -99.0 3.094782784392677 -99.0 0.5077759933471686 13.893 5751717679.441998 -0.04220262174192335 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 0.56 59.7189932075975 40.84334047397849 24.0 6.153282453294944 3.6157370373063773 6.1109235548341445 12.16 1.8319734322352312 0.0 89.68 103.8488516219829 -0.4 -0.2 
ESO085-047 8.519999851162067 16.7 13.784 -99.0 3.737463509027648 -99.0 0.06832125091552577 14.567 892911113.547578 0.43080837724816234 2.1412659578245337 3.7001075751207946 8.770625363249291 14.8 1.1982643686519765 -60.662133663006315 -80.88284488400842 1.2628150695311315 0.0 1 -999.999 -999.999 -999.0 59.280080120357596 34.84345841521028 34.05 2.821059101321172 2.756817685986473 2.8016390670659934 37.53 3.038571740237073 2.0486272513514163 27.14 31.57008035020578 9.0 9.0 
ESO114-007 9.251000308120659 26.1 13.994 -99.0 3.404568096980612 -99.0 0.3677442092895511 14.352 2658620203.834777 0.173655992670966 1.0 1.0 1.2253451946288312 13.0 1.644971274816377 -94.80728674278234 -126.40971565704312 1.9745876886692544 0.0 2 -999.999 -999.999 -999.0 40.35246955086911 42.96563697820629 23.4 5.436710664102898 2.9609482946694783 5.512342843289952 25.12 3.178590647952876 1.649526579885099 32.16 49.66887921583596 9.0 9.0 
