
This table contains general galaxy parameters for the complete barred-galaxy sample,
along with measurements for the bar (in the case of single-barred galaxies) or
outer bar (of double-barred galaxies).

--------------------------------------------------------------------------------
   Bytes Format Units   Label        Explanations
--------------------------------------------------------------------------------
   1-  9  A8    ---     Name           Galaxy Name
  12- 35  A24   ---     Type           Hubble type of galaxy (RC3)
  12- 35  I2    ---     T              Numerical Hubble type
  42- 45  F5.2  Mpc     Distance       Distance [Mpc]
  55- 59  F5.2  ---     LogMstar       Log of stellar mass [solar masses]
  62- 64  F5.1  deg     PA             Position angle of disc major axis on sky
  68- 69  F3.2  deg     i              Inclination of disc
  71- 71  I1    ---     Source         Source for disc PA and inclination
  73- 75  F3.2  deg     PA_bar         Position angle of bar on sky
  78- 80  F3.2  arcsesc amax           Maximum-ellipticity radius of bar (outer or sole)
  83- 85  F3.2  arcsesc Lbar           Bar upper-limit radius
  88- 91  F3.2  ---     emax           Maximum ellipticity of bar
  93- 93  A1    ---     DB?            Is galaxy double-barred?
  95- 95  A1    ---     NR?            Does galaxy have nuclear ring?
  97-100  F3.2  arcsesc FWHM           PSF FWHM for best image
--------------------------------------------------------------------------------
Distances are from S4G+ETG, except as noted: (a) SBF from Tonry et al. (2001), with 
correction from Mei et al. (2005); (b) Group distance from Kourkchi & Tully (2017); 
(c) Cepheids from Yuan et al. (2020); (d) SBF from Cantiello et al. (2018); 
(e) Cepheids from Riess et al. (2016).
Sources for disc orientation: 1 = SDSS images; 2 = SGA images; 3 = IRAC1 image; 
4 = see notes in Appendix C.
--------------------------------------------------------------------------------
IC 676     (R)SB(r)$0^{+}$           -1   20.0         9.83   15   47 4 164   13   18  0.72     0.15
IC 1067    SB(s)b                     3   21.9         9.91  120   44 4 151   19   19  0.64     0.74
NGC 514    SAB(rs)c                   5   29.4        10.39  104   48 4 154   10   12  0.32     0.15
NGC 600    (R')SB(rs)d                7   22.9         9.79   20   36 3  18   15   16  0.68     0.07
NGC 718    SAB(s)a                    1   21.4        10.28    5   30 4 152   20   30  0.44 Y Y 1.00
NGC 864    SAB(rs)c                   5   18.8        10.18   23   43 4  96   18   23  0.50   Y 0.10
NGC 918    SAB(rs)c                   5   18.1        10.11  158   58 3   6  6.5  8.3  0.43     1.60
NGC 936    SB(rs)$0^{+}$             -1   20.7        10.93  130   42 4  81   41   51  0.47   Y 0.07
NGC 1022   (R$^{\prime}$)SB(s)a       1   18.5        10.19  174   24 4 115   19   22  0.51     0.15
NGC 1068   (R)SA(rs)b                 3   13.5        10.86   86   31 4  12   54   75  0.24 Y Y 0.15
