# Misc. info for unbarred galaxies in D < 30 Mpc, logMstar > 9.75 sample
#
# name       T      dist       logMstar
#                   (Mpc)      (M_sun)
NGC0063    -3.4    18.80         9.931
NGC0157     4.0    19.50        10.651
NGC0337     6.7    22.13        10.211
NGC0473    -0.3    29.80        10.216
NGC0488     2.9    29.30        11.226
NGC0628     5.2     9.08        10.291
NGC0895     6.0    29.64        10.383
NGC0941     5.3    23.49         9.771
NGC1084     4.8    21.23        10.619
NGC2742     5.2    23.80        10.413
NGC2775     1.6    17.00        10.870
NGC2782     1.1    23.38        10.280
NGC2805     6.9    27.82        10.392
NGC2985     2.4    21.50        10.856
NGC3032    -1.9    22.86         9.992
NGC3041     5.4    26.35        10.437
NGC3156    -2.4    21.53         9.949
NGC3162     4.5    23.68        10.184
NGC3169     1.2    19.11        10.853
NGC3177     3.0    24.46        10.233
NGC3182     0.3    29.58        10.374
NGC3184     5.9    11.95        10.425
NGC3277     1.8    25.00        10.375
NGC3294     5.1    29.83        10.744
NGC3338     5.0    24.79        10.571
NGC3370     5.1    27.41        10.280
NGC3430     5.1    29.17        10.519
NGC3455     3.1    23.13         9.693
NGC3512     5.1    25.00        10.089
NGC3596     5.2    15.45        10.032
NGC3607    -3.2    21.30        11.122
NGC3631     5.1    13.10        10.163
NGC3642     4.0    27.50        10.404
NGC3665    -2.1    26.26        10.984
NGC3675     3.0    17.20        10.919
NGC3682    -0.1    20.96        10.230
NGC3756     4.1    21.43        10.288
NGC3810     5.1    18.27        10.508
NGC3893     5.1    18.13        10.486
NGC3898     1.7    21.90        10.716
NGC3938     5.1    17.45        10.526
NGC3949     4.0    18.34        10.246
NGC4030     4.0    24.46        10.963
NGC4138    -0.8    15.57        10.176
NGC4150    -2.1    12.85         9.792
NGC4212     4.9    19.01        10.377
NGC4237     4.0    22.17        10.364
NGC4254     5.2    15.43        10.743
NGC4298     5.1    15.97        10.201
NGC4351     2.8    27.82        10.066
NGC4380     2.4    20.07        10.321
NGC4391    -3.0    23.90         9.915
NGC4414     5.2    16.32        10.783
NGC4451     2.5    22.36         9.863
NGC4459    -1.6    16.28        10.780
NGC4470     1.9    22.47         9.845
NGC4476    -2.9    17.69         9.876
NGC4501     3.3    19.13        11.184
NGC4531    -0.1    15.20         9.978
NGC4578    -2.1    17.03        10.216
NGC4580     1.6    18.57        10.095
NGC4641    -2.0    27.94         9.793
NGC4651     5.1    26.71        10.844
NGC4571     6.4    17.73        10.254
NGC4689     4.7    17.89        10.495
NGC4698     1.6    23.65        10.848
NGC4701     5.9    23.84         9.974
NGC4775     6.9    26.60        10.206
NGC4800     3.0    22.50        10.463
NGC4826     2.2     5.34        10.443
NGC4880    -1.2    15.70         9.802
NGC4928     4.0    29.07         9.952
NGC5055     4.0     8.33        10.778
NGC5273    -1.9    15.96        10.037
NGC5364     4.0    17.28        10.508
NGC5485    -2.0    29.76        10.823
NGC5665     5.0    27.70        10.244
NGC5821     4.5    12.32        10.111
NGC5869    -2.2    28.82        10.532
NGC5958     4.7    28.07        10.060
NGC5963     4.1    26.77        10.096
NGC6106     5.3    24.62        10.050
NGC6340     0.4    22.00        10.601
NGC7437     6.7    29.20         9.821
NGC7625     1.0    23.00        10.238
NGC7742     2.8    22.20        10.343
